"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2024-05-09","50","64","43"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2024-05-10","57","65","47"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2024-05-11","58","74","43"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2024-05-12","64","78","52"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2024-05-13","68","83","55"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2024-05-14","66","77","54"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2024-05-15","64","76","48"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2024-05-16","66","79","53"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2024-05-17","70","81","58"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2024-05-18","65","79","51"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2024-05-19","71","73","57"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2024-05-20","57","60","46"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2024-05-21","52","64","41"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2024-05-22","59","77","50"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2024-05-23","56","60","47"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2024-05-24","56","73","44"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2024-05-25","58","61","50"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2024-05-26","59","74","50"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2024-05-27","65","80","51"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2024-05-28","71","87","56"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2024-05-29","76","80","57"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2024-05-30","63","72","50"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2024-05-31","65","79","51"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2024-06-01","71","85","58"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2024-06-02","74","86","65"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2024-06-03","73","77","62"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2024-06-04","67","79","60"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2024-06-05","74","89","62"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2024-06-06","79","95","63"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2024-06-07","83","94","71"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2024-06-08","78","93","66"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2024-06-09","83","97","69"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2024-06-10","79","88","65"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2024-06-11","78","92","65"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2024-06-12","83","99","71"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2024-06-13","84","100","68"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2024-06-14","87","95","78"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2024-06-15","84","89","66"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2024-06-16","71","81","58"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2024-06-17","70","76","48"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2024-06-18","55","69","45"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2024-06-19","65","80","51"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2024-06-20","73","90","61"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2024-06-21","78","90","63"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2024-06-22","81","97","67"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2024-06-23","88","101","75"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2024-06-24","89","98","77"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2024-06-25","85","99","71"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2024-06-26","86","96","77"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2024-06-27","82","93","57"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2024-06-28","76","86","62"
